2010-08-01 18:46:47 Debug: Notice (8): Undefined variable: linha in [APP\views\shopps\index.ctp, line 23]
2010-08-01 18:48:41 Debug: Notice (8): Undefined index: nome in [APP\views\shopps\index.ctp, line 22]
2010-08-01 18:49:52 Debug: Notice (8): Undefined index: diretorio in [APP\views\shopps\index.ctp, line 23]
2010-08-01 18:52:02 Debug: Notice (8): Undefined index: diretorio in [APP\views\shopps\index.ctp, line 23]
2010-08-01 18:52:09 Debug: Notice (8): Undefined index: diretorio in [APP\views\shopps\index.ctp, line 23]
2010-08-01 18:57:50 Debug: Notice (8): Undefined index: 0 in [APP\views\shopps\index.ctp, line 26]
2010-08-01 18:57:50 Debug: Notice (8): Uninitialized string offset: 0 in [CORE\cake\libs\view\helpers\html.php, line 437]
2010-08-01 19:06:54 Debug: Notice (8): Undefined index: 0 in [APP\views\shopps\index.ctp, line 28]
2010-08-01 19:24:27 Debug: Notice (8): Undefined index: Descrição in [APP\views\shopps\index.ctp, line 30]
2010-08-01 19:49:58 Debug: Notice (8): Undefined variable: jquery in [APP\views\shopps\index.ctp, line 28]
2010-08-01 19:50:25 Debug: Notice (8): Undefined variable: parametro in [APP\views\shopps\index.ctp, line 28]
2010-08-01 19:50:25 Debug: Notice (8): Undefined variable: filtros in [APP\views\shopps\index.ctp, line 28]
2010-08-01 19:50:25 Debug: Notice (8): Undefined variable: parametro in [APP\views\shopps\index.ctp, line 29]
2010-08-01 19:50:38 Debug: Notice (8): Undefined variable: parametro in [APP\views\shopps\index.ctp, line 28]
2010-08-01 19:50:38 Debug: Notice (8): Undefined variable: filtros in [APP\views\shopps\index.ctp, line 28]
2010-08-01 19:50:38 Debug: Notice (8): Undefined variable: parametro in [APP\views\shopps\index.ctp, line 29]
2010-08-01 19:51:04 Debug: Notice (8): Undefined variable: parametro in [APP\views\shopps\index.ctp, line 30]
2010-08-01 19:51:04 Debug: Notice (8): Undefined variable: filtros in [APP\views\shopps\index.ctp, line 30]
2010-08-01 19:51:04 Debug: Notice (8): Undefined variable: parametro in [APP\views\shopps\index.ctp, line 31]
2010-08-01 19:51:32 Debug: Notice (8): Undefined variable: filtros in [APP\views\shopps\index.ctp, line 30]
2010-08-01 19:53:30 Debug: Notice (8): Undefined variable: grupos in [APP\views\shopps\index.ctp, line 30]
2010-08-01 19:53:44 Debug: Notice (8): Undefined variable: grupos in [APP\views\shopps\index.ctp, line 30]
2010-08-01 20:23:43 Debug: Notice (8): Undefined variable: grupo_selecionado in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:24:26 Debug: Notice (8): Undefined variable: grupo_selecionado in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:24:57 Debug: Notice (8): Undefined variable: grupo_selecionado in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:25:23 Debug: Notice (8): Undefined variable: grupo_selecionado in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:25:39 Debug: Notice (8): Undefined variable: grupo_selecionado in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:26:54 Debug: Notice (8): Undefined variable: grupo_id in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:27:30 Debug: Notice (8): Undefined variable: grupo_id in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:27:51 Debug: Notice (8): Undefined variable: grupo_id in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:29:10 Debug: Notice (8): Undefined variable: grupo_id in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:29:31 Debug: Notice (8): Undefined variable: grupo_id in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:31:54 Debug: Notice (8): Undefined variable: grupo_id in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:32:21 Debug: Notice (8): Undefined variable: grupo_id in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:32:41 Debug: Notice (8): Undefined variable: produto in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:33:10 Debug: Notice (8): Undefined variable: grupo in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:33:35 Debug: Notice (8): Undefined variable: grupo in [APP\views\shopps\index.ctp, line 29]
2010-08-01 20:42:04 Debug: Notice (8): Undefined index: erros in [APP\controllers\produtos_controller.php, line 31]
2010-08-07 07:14:53 Debug: Notice (8): Undefined index: erros in [APP\controllers\produtos_controller.php, line 66]
2010-08-07 07:15:30 Debug: Notice (8): Undefined index: erros in [APP\controllers\produtos_controller.php, line 66]
2010-08-07 07:17:26 Debug: Notice (8): Undefined index: erros in [APP\controllers\produtos_controller.php, line 67]
2010-08-07 09:07:47 Debug: Notice (8): Undefined index: backup in [APP\controllers\produtos_controller.php, line 73]
2010-08-07 09:07:47 Debug: Notice (8): Undefined variable: path in [APP\controllers\produtos_controller.php, line 73]
2010-08-07 09:09:33 Debug: Notice (8): Undefined index: backup in [APP\controllers\produtos_controller.php, line 73]
2010-08-07 09:09:33 Debug: Notice (8): Undefined variable: path in [APP\controllers\produtos_controller.php, line 73]
2010-08-07 09:10:45 Debug: Notice (8): Undefined index: backup in [APP\controllers\produtos_controller.php, line 73]
2010-08-07 09:10:45 Debug: Notice (8): Undefined variable: path in [APP\controllers\produtos_controller.php, line 73]
2010-08-07 09:11:26 Debug: Notice (8): Undefined index: backup in [APP\controllers\produtos_controller.php, line 73]
2010-08-07 09:11:26 Debug: Notice (8): Undefined variable: path in [APP\controllers\produtos_controller.php, line 73]
2010-08-07 09:45:56 Debug: Notice (8): Undefined property: ShoppsController::$Item in [APP\controllers\shopps_controller.php, line 33]
2010-08-07 09:49:49 Debug: Notice (8): Undefined variable: array in [APP\controllers\shopps_controller.php, line 35]
2010-08-07 09:55:43 Debug: Notice (8): Undefined index: qtde in [APP\controllers\shopps_controller.php, line 37]
2010-08-07 09:55:43 Debug: Notice (8): Undefined index: codigo_item in [APP\controllers\shopps_controller.php, line 38]
2010-08-07 09:55:43 Debug: Notice (8): Undefined index: codigo in [APP\controllers\shopps_controller.php, line 39]
2010-08-07 09:55:43 Debug: Notice (8): Undefined index: descricao in [APP\controllers\shopps_controller.php, line 40]
2010-08-07 09:55:43 Debug: Notice (8): Undefined index: preco in [APP\controllers\shopps_controller.php, line 44]
2010-08-07 09:55:43 Debug: Notice (8): Undefined index: desconto_por_pacote in [APP\controllers\shopps_controller.php, line 45]
2010-08-07 09:55:43 Debug: Notice (8): Undefined index: peso in [APP\controllers\shopps_controller.php, line 46]
2010-08-07 09:55:43 Debug: Notice (8): Undefined index: cubagem in [APP\controllers\shopps_controller.php, line 47]
2010-08-07 09:56:26 Debug: Notice (8): Undefined index: codigo_item in [APP\controllers\shopps_controller.php, line 38]
2010-08-07 09:56:26 Debug: Notice (8): Undefined index: codigo in [APP\controllers\shopps_controller.php, line 39]
2010-08-07 09:56:26 Debug: Notice (8): Undefined index: descricao in [APP\controllers\shopps_controller.php, line 40]
2010-08-07 09:56:26 Debug: Notice (8): Undefined index: preco in [APP\controllers\shopps_controller.php, line 44]
2010-08-07 09:56:26 Debug: Notice (8): Undefined index: desconto_por_pacote in [APP\controllers\shopps_controller.php, line 45]
2010-08-07 09:56:26 Debug: Notice (8): Undefined index: peso in [APP\controllers\shopps_controller.php, line 46]
2010-08-07 09:56:26 Debug: Notice (8): Undefined index: cubagem in [APP\controllers\shopps_controller.php, line 47]
2010-08-07 09:57:50 Debug: Notice (8): Undefined index: codigo in [APP\controllers\shopps_controller.php, line 39]
2010-08-07 09:57:50 Debug: Notice (8): Undefined index: descricao in [APP\controllers\shopps_controller.php, line 40]
2010-08-07 09:57:50 Debug: Notice (8): Undefined index: preco in [APP\controllers\shopps_controller.php, line 44]
2010-08-07 09:57:50 Debug: Notice (8): Undefined index: desconto_por_pacote in [APP\controllers\shopps_controller.php, line 45]
2010-08-07 09:57:50 Debug: Notice (8): Undefined index: peso in [APP\controllers\shopps_controller.php, line 46]
2010-08-07 09:57:50 Debug: Notice (8): Undefined index: cubagem in [APP\controllers\shopps_controller.php, line 47]
2010-08-07 09:58:59 Debug: Notice (8): Undefined index: peso in [APP\controllers\shopps_controller.php, line 46]
2010-08-07 10:06:51 Debug: Notice (8): Undefined index: codigo_item in [APP\controllers\shopps_controller.php, line 39]
2010-08-07 13:30:39 Debug: Notice (8): Undefined offset: 1 in [APP\controllers\shopps_controller.php, line 60]
2010-08-07 13:43:38 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 59]
2010-08-07 13:44:49 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 59]
2010-08-07 13:46:23 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 59]
2010-08-07 13:49:18 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 59]
2010-08-07 13:50:31 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 59]
2010-08-07 13:51:28 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 59]
2010-08-07 13:53:54 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 59]
2010-08-07 13:54:27 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 59]
2010-08-07 13:56:00 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 59]
2010-08-07 13:56:23 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 59]
2010-08-07 13:57:01 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 59]
2010-08-07 13:58:51 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 60]
2010-08-07 14:32:04 Debug: Notice (8): Undefined offset: 1 in [APP\controllers\shopps_controller.php, line 63]
2010-08-07 15:29:55 Debug: Notice (8): Undefined offset: 2 in [APP\controllers\shopps_controller.php, line 65]
2010-08-07 15:48:27 Debug: Notice (8): Undefined index: item in [APP\controllers\shopps_controller.php, line 76]
2010-08-07 15:59:58 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 61]
2010-08-07 16:00:26 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 61]
2010-08-07 16:01:47 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 76]
2010-08-07 16:04:04 Debug: Notice (8): Undefined offset: 4 in [APP\controllers\shopps_controller.php, line 61]
2010-08-07 16:04:11 Debug: Notice (8): Undefined offset: 4 in [APP\controllers\shopps_controller.php, line 61]
2010-08-07 16:35:16 Debug: Notice (8): Undefined variable: carrinhoSession in [APP\controllers\shopps_controller.php, line 108]
2010-08-07 16:35:33 Debug: Notice (8): Undefined offset: 1 in [APP\controllers\shopps_controller.php, line 75]
2010-08-07 16:35:42 Debug: Notice (8): Undefined offset: 2 in [APP\controllers\shopps_controller.php, line 75]
2010-08-07 16:35:50 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 75]
2010-08-07 16:36:03 Debug: Notice (8): Undefined offset: 4 in [APP\controllers\shopps_controller.php, line 60]
2010-08-07 16:56:02 Debug: Notice (8): Undefined variable: carrinhoSession in [APP\controllers\shopps_controller.php, line 110]
2010-08-07 16:56:12 Debug: Notice (8): Undefined variable: carrinhoSession in [APP\controllers\shopps_controller.php, line 110]
2010-08-07 16:56:32 Debug: Notice (8): Undefined offset: 1 in [APP\controllers\shopps_controller.php, line 77]
2010-08-07 17:01:03 Debug: Notice (8): Undefined offset: 2 in [APP\controllers\shopps_controller.php, line 70]
2010-08-07 17:08:06 Debug: Notice (8): Undefined offset: 3 in [APP\controllers\shopps_controller.php, line 77]
2010-08-07 18:02:59 Debug: Notice (8): Undefined variable: produtos in [APP\views\shopps\carrinho.ctp, line 83]
2010-08-07 18:47:03 Debug: Notice (8): Undefined offset: 1 in [APP\controllers\shopps_controller.php, line 88]
2010-08-07 18:47:05 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 92]
2010-08-07 18:47:05 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 95]
2010-08-07 18:47:05 Debug: Notice (8): Undefined index: Produto in [APP\views\shopps\carrinho.ctp, line 98]
